City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
240,dogondoutchi,13.6393,4.0287,29.41,61,94,5.57,NE,1691575951
241,humahuaca,-23.2054,-65.3505,5.99,16,0,1.53,AR,1691575951
242,kalmunai,7.4167,81.8167,30.26,66,95,6.54,LK,1691575951
243,arucas,28.1198,-15.5233,25.43,68,20,4.72,ES,1691575951
244,tolanaro,-25.0319,46.9987,24.39,66,20,6.53,MG,1691575951
245,markovo,57.3206,107.0881,26.11,53,99,2.51,RU,1691575951
246,ankang,32.68,109.0172,31.37,68,80,3.74,CN,1691575952
247,malkerns,-26.5667,31.1833,19.02,56,100,2.94,SZ,1691575952
248,rongelap,11.1635,166.8941,28.36,78,83,4.94,MH,1691575952
249,mount pearl,47.5166,-52.7813,11.92,92,100,1.03,CA,1691575952
250,shetpe,44.1667,52.1167,37.43,21,0,6.73,KZ,1691575952
251,christchurch,-43.5333,172.6333,6.06,79,75,3.09,NZ,1691575812
252,mhangura,-16.8939,30.1683,24.42,15,0,1.94,ZW,1691575953
253,colac,-38.3333,143.5833,12.69,54,0,6.5,AU,1691575953
254,zakynthos,37.7914,20.8953,30.68,58,20,4.12,GR,1691575953
255,mount gambier,-37.8333,140.7667,13.31,56,45,5.01,AU,1691575953
256,alaghsas,17.0187,8.0168,32.09,44,14,2.97,NE,1691575953
257,kapuskasing,49.4169,-82.4331,14.05,100,40,2.06,CA,1691575953
258,anapa,44.8908,37.3239,30.2,55,20,6.0,RU,1691575953
259,tocopilla,-22.092,-70.1979,17.22,71,16,2.05,CL,1691575954
260,nuku'alofa,-21.1333,-175.2,21.19,94,75,5.66,TO,1691575954
261,valparaiso,-33.0393,-71.6273,15.0,67,100,0.0,CL,1691575711
262,darnah,32.767,22.6367,27.84,66,0,8.42,LY,1691575954
263,sao tome,0.3365,6.7273,25.3,78,62,4.73,ST,1691575954
264,cabedelo,-6.9811,-34.8339,23.37,81,57,6.19,BR,1691575954
265,trincomalee,8.5711,81.2335,28.66,78,100,4.17,LK,1691575955
266,ghadamis,30.1337,9.5007,34.35,21,0,3.55,LY,1691575955
267,pisco,-13.7,-76.2167,15.03,88,20,1.03,PE,1691575955
268,formosa do rio preto,-11.0483,-45.1931,20.87,58,0,1.32,BR,1691575955
269,amga,60.8953,131.9608,18.75,53,50,2.21,RU,1691575940
270,santiago de cao,-7.9589,-79.2392,21.07,88,75,2.06,PE,1691575956
271,cidreira,-30.1811,-50.2056,16.51,82,100,9.39,BR,1691575956
272,vilyuysk,63.7553,121.6247,24.34,36,0,4.11,RU,1691575956
273,zyrya,40.3661,50.2917,36.05,58,0,4.04,AZ,1691575956
274,fada,9.5667,8.3,22.84,86,99,2.82,NG,1691575956
275,itaituba,-4.2761,-55.9836,23.28,65,53,0.72,BR,1691575956
276,tres lagoas,-20.7511,-51.6783,17.53,80,1,3.4,BR,1691575957
277,hotan,37.0997,79.9269,35.2,14,55,4.19,CN,1691575957
278,xai-xai,-25.0519,33.6442,23.06,55,16,6.33,MZ,1691575957
279,saldanha,-33.0117,17.9442,23.03,58,0,3.26,ZA,1691575953
280,quatre cocos,-20.2078,57.7625,25.61,69,5,6.57,MU,1691575957
281,mitu,1.1983,-70.1733,21.12,98,38,0.27,CO,1691575957
282,ta`u,-14.2336,-169.5144,26.9,78,14,4.9,AS,1691575957
283,noosa heads,-26.3833,153.15,15.19,68,7,5.45,AU,1691575957
284,tofol,5.3248,163.0078,28.06,72,100,5.46,FM,1691575958
285,cabinda,-5.55,12.2,25.42,64,57,3.16,AO,1691575958
286,sukumo,32.9333,132.7333,26.6,95,100,7.39,JP,1691575958
287,tateyama,34.9833,139.8667,27.03,90,94,5.73,JP,1691575958
288,simiti,7.9579,-73.9436,24.08,96,76,1.03,CO,1691575958
289,burley,42.5357,-113.7928,13.5,82,0,1.54,US,1691575958
290,kindu,-2.95,25.95,35.6,31,20,1.02,CD,1691575958
291,alcabideche,38.7337,-9.4093,25.01,69,75,8.94,PT,1691575683
292,yacuiba,-22.038,-63.6797,10.44,55,0,1.88,BO,1691575959
293,vila velha,-20.3297,-40.2925,22.97,89,75,6.17,BR,1691575959
294,urucui,-7.2294,-44.5561,23.55,45,3,2.2,BR,1691575959
295,port hedland,-20.3167,118.5667,27.03,29,0,3.09,AU,1691575959
296,mukalla,14.5425,49.1242,36.33,43,96,9.97,YE,1691575959
297,tsiombe,-25.3,45.4833,26.59,51,0,5.45,MG,1691575959
298,zambezi,-13.5432,23.1047,29.37,18,0,4.03,ZM,1691575959
299,sao joao da barra,-21.6403,-41.0511,22.05,80,97,7.06,BR,1691575660
300,klaksvik,62.2266,-6.589,8.51,83,93,15.14,FO,1691575956
301,geraldton,-28.7667,114.6,16.23,72,0,5.66,AU,1691575960
302,fale old settlement,-9.3852,-171.2468,28.71,77,46,5.6,TK,1691575960
303,alice springs,-23.7,133.8833,18.75,30,1,3.09,AU,1691575960
304,sao desiderio,-12.3633,-44.9733,20.25,57,7,1.36,BR,1691575960
305,cill airne,52.05,-9.5167,21.03,83,75,3.6,IE,1691575960
306,nema,57.5067,50.5011,27.79,41,4,3.21,RU,1691575960
307,antonio enes,-16.2325,39.9086,25.54,56,37,4.18,MZ,1691575961
308,molo,-0.2479,35.7374,16.88,73,49,1.91,KE,1691575817
309,ishpeming,46.4885,-87.6676,16.37,95,88,3.32,US,1691575961
310,russkaya polyana,49.417,31.9201,23.52,42,13,4.08,UA,1691575961
311,san patricio,28.017,-97.5169,28.94,87,1,6.02,US,1691575958
312,kismayo,-0.3582,42.5454,27.32,67,67,7.84,SO,1691575961
313,beardstown,40.0176,-90.4243,18.2,81,95,1.72,US,1691575961
314,uturoa,-16.7333,-151.4333,25.3,77,98,8.91,PF,1691575962
315,akureyri,65.6835,-18.0878,7.96,76,100,0.0,IS,1691575962
316,evinayong,1.4368,10.5512,23.63,77,96,1.26,GQ,1691575962
317,minas de marcona,-15.2119,-75.1103,11.55,90,62,4.07,PE,1691575962
318,casper,42.8666,-106.3131,12.07,87,0,3.09,US,1691575682
319,mayya,61.7333,130.2811,22.62,51,13,2.15,RU,1691575962
320,dwarka,22.2394,68.9678,28.39,77,100,10.15,IN,1691575962
321,farmville,37.3021,-78.3919,18.3,96,0,0.0,US,1691575963
322,missoula,47.0166,-113.8009,10.22,86,77,1.02,US,1691575963
323,rikaze,29.25,88.8833,23.23,31,87,4.44,CN,1691575963
324,moose jaw,50.4001,-105.5344,12.15,82,100,2.57,CA,1691575963
325,parksville,49.3163,-124.3195,17.06,99,100,5.14,CA,1691575963
326,westport,41.1415,-73.3579,21.63,76,75,5.14,US,1691575963
327,hiratacho,35.4333,132.8167,29.44,70,98,5.87,JP,1691575963
328,ironwood,46.4547,-90.171,14.45,94,0,2.57,US,1691575964
329,laibin,23.7,109.2667,30.74,76,97,3.46,CN,1691575964
330,gadzhiyevo,69.2551,33.3362,23.59,61,0,2.86,RU,1691575964
331,kuta,-8.7233,115.1723,26.97,74,20,5.36,ID,1691575964
332,santa elena,-2.2333,-80.85,22.01,85,95,2.84,EC,1691575964
333,kamiichi,36.7,137.3667,25.77,93,100,2.29,JP,1691575964
334,new norfolk,-42.7826,147.0587,10.95,69,100,2.23,AU,1691575964
335,kathu,7.9178,98.3332,29.9,74,63,5.06,TH,1691575946
336,cova figueira,14.8905,-24.2934,23.09,75,20,4.52,CV,1691575965
337,riscani,47.9572,27.5539,25.07,33,4,2.21,MD,1691575965
338,lospalos,-8.5186,127.0025,20.82,90,63,3.03,TL,1691575965
339,keuruu,62.2667,24.7,20.1,47,46,4.22,FI,1691575965
340,santyoku,37.4406,129.1708,22.22,97,100,4.75,KR,1691575965
341,terra rica,-22.7094,-52.6169,15.91,88,92,5.44,BR,1691575965
342,nova xavantina,-14.6667,-52.35,21.12,46,0,1.38,BR,1691575965
343,chadron,42.8294,-102.9999,13.86,91,0,0.89,US,1691575966
344,conception bay south,47.4999,-52.9981,12.25,94,99,1.81,CA,1691575966
345,enewetak,11.3474,162.3373,28.16,80,88,6.04,MH,1691575958
346,vernon,50.2581,-119.2691,22.2,52,99,0.51,CA,1691575959
347,beyneu,45.3167,55.2,38.12,20,0,7.05,KZ,1691575963
348,moab,38.5733,-109.5498,22.03,28,1,1.6,US,1691575853
349,island harbour,50.724,-1.2758,22.48,77,99,0.45,GB,1691575966
350,zhumysker,49.3333,49.4,34.96,22,68,2.7,KZ,1691575966
351,fomboni,-12.28,43.7425,24.97,73,5,7.93,KM,1691575966
352,rehoboth,-23.3167,17.0833,23.47,19,77,6.95,NA,1691575967
353,la ronge,55.1001,-105.2842,9.14,100,20,0.0,CA,1691575967
354,silvania,-16.6589,-48.6081,16.82,42,0,3.55,BR,1691575967
355,paradip garh,20.3167,86.6167,31.4,66,78,5.34,IN,1691575967
356,khanty-mansiysk,61.0042,69.0019,16.06,67,75,3.0,RU,1691575876
357,vila franca do campo,37.7167,-25.4333,24.23,92,85,8.22,PT,1691575967
358,'ain abid,36.2319,6.9433,30.93,19,0,3.36,DZ,1691575967
359,saint-jean-de-monts,46.7833,-2.0667,20.95,65,0,1.46,FR,1691575948
360,coari,-4.085,-63.1414,23.17,77,12,0.92,BR,1691575968
361,nuuk,64.1835,-51.7216,3.82,100,99,0.96,GL,1691575949
362,ancud,-41.8697,-73.8203,11.85,88,100,10.64,CL,1691575968
363,santa ana,33.7456,-117.8678,23.53,85,100,1.54,US,1691575966
364,taltal,-25.4,-70.4833,15.38,71,16,1.37,CL,1691575821
